_id,singkat,hasil
1,abis,habis
2,accent,tekanan
3,accept,terima
4,accident,kecelakaan
5,achievement,prestasi
6,acra,acara
7,acrany,acaranya
8,acrnya,acaranya
9,action,aksi
10,active,aktif
11,activity,aktivitas
12,actually,sebenarnya
13,actualy,sebenarnya
14,ad,ada
15,ade,ada
16,adult,dewasa
17,adventure,petualangan
18,adventurer,petualang
19,advice,nasehat
20,after,setelah
21,afternun,sore
22,again,lagi
23,agency,perwakilan
24,agent,agen
25,agk,agak
26,agktn,angkatan
27,agree,setuju
28,agreement,persetujuan
29,aing,saya
30,aj,saja
31,aja,saja
32,ajah,saja
33,aje,saja
34,ajeh,saja
35,ajk,ajak
36,ak,saya
37,akeh,banyak
38,akhire,akhirnya
39,aktifkn,aktifkan
40,aku,saya
41,alhamdlh,alhamdulillah
42,alhamdulilah,alhamdulillah
43,almost,hampir
44,almt,alamat
45,alone,sendiri
46,alsn,alasan
47,also,juga
48,always,selalu
49,ama,sama
50,amazing,mengagumkan
51,ampe,sampai
52,amu,kamu
53,amuh,kamu
54,ancen,memang
55,ancur,hancur
56,ane,saya
57,anget,hangat
58,ap,apa
59,aple,apple
60,aplksi,aplikasi
61,aproved,diterima
62,aq,saya
63,aqoe,saya
64,aqu,saya
65,aqw,saya
66,arep,mau
67,arived,tiba
68,article,artikel
69,artine,artinya
70,asignment,tugas
71,assistance,bantuan
72,assistant,asisten
73,asyek,asyik
74,ats,atas
75,atu,satu-satu
76,atw,atau
77,automatic,otomatis
78,aya,ada
79,b,bb
80,"b\kesinambungn""",berkesinambungan
81,babeh,ayah
82,balasanya,balasannya
83,bales,balas
84,banga,bangga
85,batre,baterai
86,bbrapa,beberapa
87,bbrp,beberapa
88,bbrpa,beberapa
89,bdg,bandung
90,beach,pantai
91,before,sebelum
92,begete,banget
93,bego,bodoh
94,belike,belikan
95,bengi,malam
96,benjol,memar
97,beraktifitas,beraktivitas
98,berjln,berjalan
99,berkmmpuan,berkemampuan
100,bersaman,bersamaan
101,bet,banget
102,beter,better
103,between,antara
104,gmn,bagaimana
105,Bgm,bagaimana
106,bgmn,bagaimana
107,bgmna,bagaimana
108,bgn,bangun
109,bgt,banget
110,bgtu,begitu
111,bhs,bahasa
112,bimbel,bimbingan belajar
113,birthday,ulang tahun
114,bis,habis
115,bjln,berjalan
116,bklan,bakalan
117,bkn,bukan
118,blackbery,blackberry
119,blg,bilang
120,blk,balik
121,blm,belum
122,bln,bulan
123,blng,bilang
124,blnja,belanja
125,blom,belum
126,blon,belum
127,bls,balas
128,blsanya,balasannya
129,blum,belum
130,bm,bbm
131,bnar,benar
132,bner,benar
133,bnr,benar
134,bnrn,beneran
135,bntr,sebentar
136,bntu,bantu
137,bnuh,bunuh
138,bnyk,banyak
139,bobonya,tidurnya
140,bodo,bodoh
141,bokap,ayah
142,bole,boleh
143,boong,bohong
144,boring,bosan
145,bpak,bapak
146,bpk,bapak
147,brangcut,berangkat
148,brangkt,berangkat
149,brenang,berenang
150,brg,barang
151,brp,berapa
152,brpa,berapa
153,brsih,bersih
154,bru,baru
155,bs,bisa
156,bsa,bisa
157,bsar,besar
158,bsh,basah
159,bsk,besok
160,bsok,besok
161,bsr,besar
162,bth,butuh
163,btuh,butuh
164,btul,betul
165,btw,ngomong ngomong
166,Bu,ibu
167,buanged,banget
168,buangedh,banget
169,buanget,banget
170,buktiin,buktikan
171,buktin,buktikan
172,buln,bulan
173,bungks,bungkus
174,bw,bawa
175,bwa,bawa
176,bwah,bawah
177,bwat,untuk
178,bwh,bawah
179,bwt,untuk
180,byar,bayar
181,byk,banyak
182,byr,bayar
183,cabe,cabai
184,cadas,cerdas
185,cah,bocah
186,call,telepon
187,can,dapat
188,cape,capek
189,"car
",mobil
190,career,karir
191,caution,perhatian
192,cb,coba
193,Ceman,teman
194,cemungudh,semangat
195,Cemungut,semangat
196,cepet,cepat
197,cew,cewek
198,cewe,cewek
199,check,cek
200,ciapa,siapa
201,cibuk,sibuk
202,cinto,cinta
203,cius,serius
204,ciusan,seriusan
205,ciyus,serius
206,clananya,celananya
207,cmpakan,campakkan
208,cmpakin,campakkan
209,cnd,canda
210,cnda,canda
211,cnggih,canggih
212,cngih,canggih
213,cnt,cinta
214,cnta,cinta
215,cntik,cantik
216,cntk,cantik
217,cntre,tengah
218,co,cowok
219,coach,pelatih
220,coaster,alas
221,cocokin,cocokkan
222,cocoknyo,cocoknya
223,coconut,kelapa
224,cod,bayar saat pengiriman
225,coding,mengkode
226,coklat,cokelat
227,colecting,mengoleksi
228,colection,koleksi
229,colongin,curikan
230,colonial,kolonial
231,color,warna
232,colorful,berwarna-warni
233,colour,warna
234,comeback,datang kembali
235,comedy,komedi
236,comendable,patut dihargai
237,coment,komen
238,comercial,komersil
239,comes,datang
240,comfirm,konfirmasi
241,Comfort,nyaman
242,comfortable,menyenangkan
243,comic,komik
244,coming,datang
245,comingson,segera datang
246,comingsoon,segera datang
247,commando,prajurit
248,commendable,patut dihargai
249,comment,komen
250,commentary,uraian
251,commercial,komersil
252,community,komunita
253,communityny,komunitanya
254,company,perusahaan
255,competition,persaingan
256,complain,mengeluh
257,complete,lengkap
258,completes,lengkap
